Day,Hour,Fuel,OutputQuality,Output
2019-01-04,5,WIND,0,1448
2019-01-04,5,SOLAR,-1,0
2019-01-04,5,BIOFUEL,0,10
2019-01-04,6,NUCLEAR,0,11210
2019-01-04,6,GAS,0,265
2019-01-04,6,HYDRO,0,3088
2019-01-04,6,WIND,0,2015
2019-01-04,6,SOLAR,-1,0
2019-01-04,6,BIOFUEL,0,14
2019-01-04,7,NUCLEAR,0,11211
2019-01-04,7,GAS,0,316
2019-01-04,7,HYDRO,0,3454
2019-01-04,7,WIND,0,1978
2019-01-04,7,SOLAR,-1,0
2019-01-04,7,BIOFUEL,0,20
2019-01-04,8,NUCLEAR,0,11211
2019-01-04,8,GAS,0,453
2019-01-04,8,HYDRO,0,3692
2019-01-04,8,WIND,0,2764
2019-01-04,8,SOLAR,-1,0
2019-01-04,8,BIOFUEL,0,28
2019-01-04,9,NUCLEAR,0,11215
2019-01-04,9,GAS,0,456
2019-01-04,9,HYDRO,0,3860
2019-01-04,9,WIND,0,2655
2019-01-04,9,SOLAR,-1,6
2019-01-04,9,BIOFUEL,0,27
2019-01-04,10,NUCLEAR,0,11212
2019-01-04,10,GAS,0,507
2019-01-04,10,HYDRO,0,3889
2019-01-04,10,WIND,0,2763
2019-01-04,10,SOLAR,-1,65
2019-01-04,10,BIOFUEL,0,28
2019-01-04,11,NUCLEAR,0,11210
2019-01-04,11,GAS,0,574
2019-01-04,11,HYDRO,0,3994
2019-01-04,11,WIND,0,2532
2019-01-04,11,SOLAR,-1,148
2019-01-04,11,BIOFUEL,0,27
2019-01-04,12,NUCLEAR,0,11213
2019-01-04,12,GAS,0,716
2019-01-04,12,HYDRO,0,3727
2019-01-04,12,WIND,0,2157
2019-01-04,12,SOLAR,-1,182
2019-01-04,12,BIOFUEL,0,28
2019-01-04,13,NUCLEAR,0,11207
2019-01-04,13,GAS,0,872
2019-01-04,13,HYDRO,0,3832
2019-01-04,13,WIND,0,1817
2019-01-04,13,SOLAR,-1,198
2019-01-04,13,BIOFUEL,0,27
2019-01-04,14,NUCLEAR,0,11208
2019-01-04,14,GAS,0,936
2019-01-04,14,HYDRO,0,4092
2019-01-04,14,WIND,0,1561
2019-01-04,14,SOLAR,-1,200
2019-01-04,14,BIOFUEL,0,27
2019-01-04,15,NUCLEAR,0,11214
2019-01-04,15,GAS,0,1075
2019-01-04,15,HYDRO,0,3930
2019-01-04,15,WIND,0,1216
2019-01-04,15,SOLAR,-1,167
2019-01-04,15,BIOFUEL,0,27
2019-01-04,16,NUCLEAR,0,11204
2019-01-04,16,GAS,0,1103
2019-01-04,16,HYDRO,0,4408
2019-01-04,16,WIND,0,795
2019-01-04,16,SOLAR,-1,105
2019-01-04,16,BIOFUEL,0,27
2019-01-04,17,NUCLEAR,0,11200
2019-01-04,17,GAS,0,1193
2019-01-04,17,HYDRO,0,4777
2019-01-04,17,WIND,0,959
2019-01-04,17,SOLAR,-1,20
2019-01-04,17,BIOFUEL,0,28
2019-01-04,18,NUCLEAR,0,11198
2019-01-04,18,GAS,0,1236
2019-01-04,18,HYDRO,0,5618
2019-01-04,18,WIND,0,902
2019-01-04,18,SOLAR,-1,0
2019-01-04,18,BIOFUEL,0,28
2019-01-04,19,NUCLEAR,0,11205
2019-01-04,19,GAS,0,1230
2019-01-04,19,HYDRO,0,5464
2019-01-04,19,WIND,0,958
2019-01-04,19,SOLAR,-1,0
2019-01-04,19,BIOFUEL,0,31
2019-01-04,20,NUCLEAR,0,11206
2019-01-04,20,GAS,0,1066
2019-01-04,20,HYDRO,0,5366
2019-01-04,20,WIND,0,870
2019-01-04,20,SOLAR,-1,0
2019-01-04,20,BIOFUEL,0,27
2019-01-04,21,NUCLEAR,0,11202
2019-01-04,21,GAS,0,881
2019-01-04,21,HYDRO,0,5765
2019-01-04,21,WIND,0,523
2019-01-04,21,SOLAR,-1,0
2019-01-04,21,BIOFUEL,0,28
2019-01-04,22,NUCLEAR,0,11204
2019-01-04,22,GAS,0,537
2019-01-04,22,HYDRO,0,5616
2019-01-04,22,WIND,0,269
2019-01-04,22,SOLAR,-1,0
2019-01-04,22,BIOFUEL,0,27
2019-01-04,23,NUCLEAR,0,11196
2019-01-04,23,GAS,0,464
2019-01-04,23,HYDRO,0,4905
2019-01-04,23,WIND,0,213
2019-01-04,23,SOLAR,-1,0
2019-01-04,23,BIOFUEL,0,27
2019-01-04,24,NUCLEAR,0,11195
2019-01-04,24,GAS,0,258
2019-01-04,24,HYDRO,0,4429
2019-01-04,24,WIND,0,331
2019-01-04,24,SOLAR,-1,0
2019-01-04,24,BIOFUEL,0,19
2019-01-05,1,NUCLEAR,0,11194
2019-01-05,1,GAS,0,230
2019-01-05,1,HYDRO,0,3807
2019-01-05,1,WIND,0,684
2019-01-05,1,SOLAR,-1,0
2019-01-05,1,BIOFUEL,0,7
2019-01-05,2,NUCLEAR,0,11190
2019-01-05,2,GAS,0,231
2019-01-05,2,HYDRO,0,3124
2019-01-05,2,WIND,0,851
2019-01-05,2,SOLAR,-1,0
2019-01-05,2,BIOFUEL,0,0
2019-01-05,3,NUCLEAR,0,11186
2019-01-05,3,GAS,0,230
2019-01-05,3,HYDRO,0,3177
2019-01-05,3,WIND,0,944
2019-01-05,3,SOLAR,-1,0
2019-01-05,3,BIOFUEL,0,0
2019-01-05,4,NUCLEAR,0,11174
2019-01-05,4,GAS,0,177
2019-01-05,4,HYDRO,0,3205
2019-01-05,4,WIND,0,762
2019-01-05,4,SOLAR,-1,0
2019-01-05,4,BIOFUEL,0,10
2019-01-05,5,NUCLEAR,0,11174
2019-01-05,5,GAS,0,174
2019-01-05,5,HYDRO,0,3238
2019-01-05,5,WIND,0,857
2019-01-05,5,SOLAR,-1,0
2019-01-05,5,BIOFUEL,0,16
2019-01-05,6,NUCLEAR,0,11178
2019-01-05,6,GAS,0,174
2019-01-05,6,HYDRO,0,3419
2019-01-05,6,WIND,0,780
2019-01-05,6,SOLAR,-1,0
2019-01-05,6,BIOFUEL,0,18
2019-01-05,7,NUCLEAR,0,11185
2019-01-05,7,GAS,0,168
2019-01-05,7,HYDRO,0,3668
2019-01-05,7,WIND,0,771
2019-01-05,7,SOLAR,-1,0
2019-01-05,7,BIOFUEL,0,6
2019-01-05,8,NUCLEAR,0,11186
2019-01-05,8,GAS,0,168
2019-01-05,8,HYDRO,0,4276
2019-01-05,8,WIND,0,662
2019-01-05,8,SOLAR,-1,0
2019-01-05,8,BIOFUEL,0,4
2019-01-05,9,NUCLEAR,0,11180
2019-01-05,9,GAS,0,146
2019-01-05,9,HYDRO,0,4945
2019-01-05,9,WIND,0,383
2019-01-05,9,SOLAR,-1,15
2019-01-05,9,BIOFUEL,0,0
2019-01-05,10,NUCLEAR,0,11177
2019-01-05,10,GAS,0,110
2019-01-05,10,HYDRO,0,4855
2019-01-05,10,WIND,0,286
2019-01-05,10,SOLAR,-1,38
2019-01-05,10,BIOFUEL,0,0
2019-01-05,11,NUCLEAR,0,11183
2019-01-05,11,GAS,0,111
2019-01-05,11,HYDRO,0,5205
2019-01-05,11,WIND,0,141
2019-01-05,11,SOLAR,-1,72
2019-01-05,11,BIOFUEL,0,0
2019-01-05,12,NUCLEAR,0,11180
2019-01-05,12,GAS,0,179
2019-01-05,12,HYDRO,0,5457
2019-01-05,12,WIND,0,107
2019-01-05,12,SOLAR,-1,87
2019-01-05,12,BIOFUEL,0,0
2019-01-05,13,NUCLEAR,0,11185
2019-01-05,13,GAS,0,157
2019-01-05,13,HYDRO,0,5033
2019-01-05,13,WIND,0,145
2019-01-05,13,SOLAR,-1,104
2019-01-05,13,BIOFUEL,0,0
2019-01-05,14,NUCLEAR,0,11182
2019-01-05,14,GAS,0,107
2019-01-05,14,HYDRO,0,4888
2019-01-05,14,WIND,0,392
2019-01-05,14,SOLAR,-1,105
2019-01-05,14,BIOFUEL,0,0
2019-01-05,15,NUCLEAR,0,11186
2019-01-05,15,GAS,0,107
2019-01-05,15,HYDRO,0,4884
2019-01-05,15,WIND,0,580
2019-01-05,15,SOLAR,-1,86
2019-01-05,15,BIOFUEL,0,0
2019-01-05,16,NUCLEAR,0,11194
2019-01-05,16,GAS,0,108
2019-01-05,16,HYDRO,0,4682
2019-01-05,16,WIND,0,1107
2019-01-05,16,SOLAR,-1,46
2019-01-05,16,BIOFUEL,0,0
2019-01-05,17,NUCLEAR,0,11198
2019-01-05,17,GAS,0,109
2019-01-05,17,HYDRO,0,4150
2019-01-05,17,WIND,0,1478
2019-01-05,17,SOLAR,-1,10
2019-01-05,17,BIOFUEL,0,0
2019-01-05,18,NUCLEAR,0,11198
2019-01-05,18,GAS,0,161
2019-01-05,18,HYDRO,0,4500
2019-01-05,18,WIND,0,2277
2019-01-05,18,SOLAR,-1,0
2019-01-05,18,BIOFUEL,0,0
2019-01-05,19,NUCLEAR,0,11195
2019-01-05,19,GAS,0,165
2019-01-05,19,HYDRO,0,4613
2019-01-05,19,WIND,0,2450
2019-01-05,19,SOLAR,-1,0
2019-01-05,19,BIOFUEL,0,0
2019-01-05,20,NUCLEAR,0,11199
2019-01-05,20,GAS,0,166
2019-01-05,20,HYDRO,0,4529
2019-01-05,20,WIND,0,2600
2019-01-05,20,SOLAR,-1,0
2019-01-05,20,BIOFUEL,0,0
2019-01-05,21,NUCLEAR,0,11190
2019-01-05,21,GAS,0,167
2019-01-05,21,HYDRO,0,3969
2019-01-05,21,WIND,0,2729
2019-01-05,21,SOLAR,-1,0
2019-01-05,21,BIOFUEL,0,0
2019-01-05,22,NUCLEAR,0,11183
2019-01-05,22,GAS,0,174
2019-01-05,22,HYDRO,0,3573
2019-01-05,22,WIND,0,2920
2019-01-05,22,SOLAR,-1,0
2019-01-05,22,BIOFUEL,0,0
2019-01-05,23,NUCLEAR,0,11186
