DeliveryYear,Day,Hour,Fuel,OutputQuality,Output
2020,2020-01-03,4,GAS,-1,272
2020,2020-01-03,4,HYDRO,0,3069
2020,2020-01-03,4,WIND,0,928
2020,2020-01-03,4,SOLAR,0,0
2020,2020-01-03,4,BIOFUEL,0,18
2020,2020-01-03,5,NUCLEAR,0,11691
2020,2020-01-03,5,GAS,-1,287
2020,2020-01-03,5,HYDRO,0,3190
2020,2020-01-03,5,WIND,0,1243
2020,2020-01-03,5,SOLAR,0,0
2020,2020-01-03,5,BIOFUEL,0,18
2020,2020-01-03,6,NUCLEAR,0,11693
2020,2020-01-03,6,GAS,-1,340
2020,2020-01-03,6,HYDRO,0,3303
2020,2020-01-03,6,WIND,0,1294
2020,2020-01-03,6,SOLAR,0,0
2020,2020-01-03,6,BIOFUEL,0,18
2020,2020-01-03,7,NUCLEAR,0,11692
2020,2020-01-03,7,GAS,-1,338
2020,2020-01-03,7,HYDRO,0,3387
2020,2020-01-03,7,WIND,0,1178
2020,2020-01-03,7,SOLAR,0,0
2020,2020-01-03,7,BIOFUEL,0,25
2020,2020-01-03,8,NUCLEAR,0,11691
2020,2020-01-03,8,GAS,-1,367
2020,2020-01-03,8,HYDRO,0,4033
2020,2020-01-03,8,WIND,0,1087
2020,2020-01-03,8,SOLAR,0,0
2020,2020-01-03,8,BIOFUEL,0,33
2020,2020-01-03,9,NUCLEAR,0,11690
2020,2020-01-03,9,GAS,-1,540
2020,2020-01-03,9,HYDRO,0,4530
2020,2020-01-03,9,WIND,0,1020
2020,2020-01-03,9,SOLAR,0,3
2020,2020-01-03,9,BIOFUEL,0,40
2020,2020-01-03,10,NUCLEAR,0,11697
2020,2020-01-03,10,GAS,-1,612
2020,2020-01-03,10,HYDRO,0,4397
2020,2020-01-03,10,WIND,0,845
2020,2020-01-03,10,SOLAR,0,14
2020,2020-01-03,10,BIOFUEL,0,39
2020,2020-01-03,11,NUCLEAR,0,11713
2020,2020-01-03,11,GAS,-1,900
2020,2020-01-03,11,HYDRO,0,4750
2020,2020-01-03,11,WIND,0,662
2020,2020-01-03,11,SOLAR,0,22
2020,2020-01-03,11,BIOFUEL,0,37
2020,2020-01-03,12,NUCLEAR,0,11717
2020,2020-01-03,12,GAS,-1,944
2020,2020-01-03,12,HYDRO,0,4483
2020,2020-01-03,12,WIND,0,623
2020,2020-01-03,12,SOLAR,0,34
2020,2020-01-03,12,BIOFUEL,0,34
2020,2020-01-03,13,NUCLEAR,0,11729
2020,2020-01-03,13,GAS,-1,1092
2020,2020-01-03,13,HYDRO,0,4576
2020,2020-01-03,13,WIND,0,602
2020,2020-01-03,13,SOLAR,0,33
2020,2020-01-03,13,BIOFUEL,0,34
2020,2020-01-03,14,NUCLEAR,0,11744
2020,2020-01-03,14,GAS,-1,1276
2020,2020-01-03,14,HYDRO,0,4658
2020,2020-01-03,14,WIND,0,520
2020,2020-01-03,14,SOLAR,0,44
2020,2020-01-03,14,BIOFUEL,0,34
2020,2020-01-03,15,NUCLEAR,0,11749
2020,2020-01-03,15,GAS,-1,1200
2020,2020-01-03,15,HYDRO,0,4660
2020,2020-01-03,15,WIND,0,461
2020,2020-01-03,15,SOLAR,0,39
2020,2020-01-03,15,BIOFUEL,0,34
2020,2020-01-03,16,NUCLEAR,0,11761
2020,2020-01-03,16,GAS,-1,1354
2020,2020-01-03,16,HYDRO,0,4708
2020,2020-01-03,16,WIND,0,424
2020,2020-01-03,16,SOLAR,0,18
2020,2020-01-03,16,BIOFUEL,0,34
2020,2020-01-03,17,NUCLEAR,0,11767
2020,2020-01-03,17,GAS,-1,1432
2020,2020-01-03,17,HYDRO,0,5137
2020,2020-01-03,17,WIND,0,360
2020,2020-01-03,17,SOLAR,0,2
2020,2020-01-03,17,BIOFUEL,0,34
2020,2020-01-03,18,NUCLEAR,0,11775
2020,2020-01-03,18,GAS,-1,1529
2020,2020-01-03,18,HYDRO,0,5675
2020,2020-01-03,18,WIND,0,326
2020,2020-01-03,18,SOLAR,0,0
2020,2020-01-03,18,BIOFUEL,0,34
2020,2020-01-03,19,NUCLEAR,0,11786
2020,2020-01-03,19,GAS,-1,1421
2020,2020-01-03,19,HYDRO,0,5562
2020,2020-01-03,19,WIND,0,313
2020,2020-01-03,19,SOLAR,0,0
2020,2020-01-03,19,BIOFUEL,0,35
2020,2020-01-03,20,NUCLEAR,0,11790
2020,2020-01-03,20,GAS,-1,1396
2020,2020-01-03,20,HYDRO,0,5314
2020,2020-01-03,20,WIND,0,335
2020,2020-01-03,20,SOLAR,0,0
2020,2020-01-03,20,BIOFUEL,0,36
2020,2020-01-03,21,NUCLEAR,0,11783
2020,2020-01-03,21,GAS,-1,1160
2020,2020-01-03,21,HYDRO,0,4942
2020,2020-01-03,21,WIND,0,316
2020,2020-01-03,21,SOLAR,0,0
2020,2020-01-03,21,BIOFUEL,0,36
2020,2020-01-03,22,NUCLEAR,0,11824
2020,2020-01-03,22,GAS,-1,802
2020,2020-01-03,22,HYDRO,0,4769
2020,2020-01-03,22,WIND,0,343
2020,2020-01-03,22,SOLAR,0,0
2020,2020-01-03,22,BIOFUEL,0,36
2020,2020-01-03,23,NUCLEAR,0,11819
2020,2020-01-03,23,GAS,-1,591
2020,2020-01-03,23,HYDRO,0,4309
2020,2020-01-03,23,WIND,0,322
2020,2020-01-03,23,SOLAR,0,0
2020,2020-01-03,23,BIOFUEL,0,35
2020,2020-01-03,24,NUCLEAR,0,11839
2020,2020-01-03,24,GAS,-1,434
2020,2020-01-03,24,HYDRO,0,3607
2020,2020-01-03,24,WIND,0,270
2020,2020-01-03,24,SOLAR,0,0
2020,2020-01-03,24,BIOFUEL,0,21
2020,2020-01-04,1,NUCLEAR,0,11863
2020,2020-01-04,1,GAS,-1,272
2020,2020-01-04,1,HYDRO,0,3592
2020,2020-01-04,1,WIND,0,278
2020,2020-01-04,1,SOLAR,0,0
2020,2020-01-04,1,BIOFUEL,0,1
2020,2020-01-04,2,NUCLEAR,0,11893
2020,2020-01-04,2,GAS,-1,236
2020,2020-01-04,2,HYDRO,0,3380
2020,2020-01-04,2,WIND,0,402
2020,2020-01-04,2,SOLAR,0,0
2020,2020-01-04,2,BIOFUEL,0,0
2020,2020-01-04,3,NUCLEAR,0,11909
2020,2020-01-04,3,GAS,-1,236
2020,2020-01-04,3,HYDRO,0,3060
2020,2020-01-04,3,WIND,0,314
2020,2020-01-04,3,SOLAR,0,0
2020,2020-01-04,3,BIOFUEL,0,0
2020,2020-01-04,4,NUCLEAR,0,11908
2020,2020-01-04,4,GAS,-1,236
2020,2020-01-04,4,HYDRO,0,3225
2020,2020-01-04,4,WIND,0,241
2020,2020-01-04,4,SOLAR,0,0
2020,2020-01-04,4,BIOFUEL,0,0
2020,2020-01-04,5,NUCLEAR,0,11931
2020,2020-01-04,5,GAS,-1,236
2020,2020-01-04,5,HYDRO,0,3258
2020,2020-01-04,5,WIND,0,188
2020,2020-01-04,5,SOLAR,0,0
2020,2020-01-04,5,BIOFUEL,0,0
2020,2020-01-04,6,NUCLEAR,0,11949
2020,2020-01-04,6,GAS,-1,244
2020,2020-01-04,6,HYDRO,0,3653
2020,2020-01-04,6,WIND,0,250
2020,2020-01-04,6,SOLAR,0,0
2020,2020-01-04,6,BIOFUEL,0,0
2020,2020-01-04,7,NUCLEAR,0,11956
2020,2020-01-04,7,GAS,-1,236
2020,2020-01-04,7,HYDRO,0,3673
2020,2020-01-04,7,WIND,0,307
2020,2020-01-04,7,SOLAR,0,0
2020,2020-01-04,7,BIOFUEL,0,0
2020,2020-01-04,8,NUCLEAR,0,11964
2020,2020-01-04,8,GAS,-1,236
2020,2020-01-04,8,HYDRO,0,4137
2020,2020-01-04,8,WIND,0,289
2020,2020-01-04,8,SOLAR,0,0
2020,2020-01-04,8,BIOFUEL,0,0
2020,2020-01-04,9,NUCLEAR,0,11958
2020,2020-01-04,9,GAS,-1,333
2020,2020-01-04,9,HYDRO,0,4370
2020,2020-01-04,9,WIND,0,337
2020,2020-01-04,9,SOLAR,0,2
2020,2020-01-04,9,BIOFUEL,0,0
2020,2020-01-04,10,NUCLEAR,0,11958
2020,2020-01-04,10,GAS,-1,384
2020,2020-01-04,10,HYDRO,0,4934
2020,2020-01-04,10,WIND,0,302
2020,2020-01-04,10,SOLAR,0,6
2020,2020-01-04,10,BIOFUEL,0,0
2020,2020-01-04,11,NUCLEAR,0,11951
2020,2020-01-04,11,GAS,-1,543
2020,2020-01-04,11,HYDRO,0,5106
2020,2020-01-04,11,WIND,0,436
2020,2020-01-04,11,SOLAR,0,17
2020,2020-01-04,11,BIOFUEL,0,0
2020,2020-01-04,12,NUCLEAR,0,11948
2020,2020-01-04,12,GAS,-1,507
2020,2020-01-04,12,HYDRO,0,4747
2020,2020-01-04,12,WIND,0,689
2020,2020-01-04,12,SOLAR,0,26
2020,2020-01-04,12,BIOFUEL,0,0
2020,2020-01-04,13,NUCLEAR,0,11947
2020,2020-01-04,13,GAS,-1,544
2020,2020-01-04,13,HYDRO,0,4499
2020,2020-01-04,13,WIND,0,961
2020,2020-01-04,13,SOLAR,0,38
2020,2020-01-04,13,BIOFUEL,0,0
2020,2020-01-04,14,NUCLEAR,0,11952
2020,2020-01-04,14,GAS,-1,588
2020,2020-01-04,14,HYDRO,0,4620
2020,2020-01-04,14,WIND,0,1109
2020,2020-01-04,14,SOLAR,0,61
2020,2020-01-04,14,BIOFUEL,0,0
2020,2020-01-04,15,NUCLEAR,0,11954
2020,2020-01-04,15,GAS,-1,308
2020,2020-01-04,15,HYDRO,0,4049
2020,2020-01-04,15,WIND,0,1281
2020,2020-01-04,15,SOLAR,0,35
2020,2020-01-04,15,BIOFUEL,0,0
2020,2020-01-04,16,NUCLEAR,0,11950
2020,2020-01-04,16,GAS,-1,308
2020,2020-01-04,16,HYDRO,0,4017
2020,2020-01-04,16,WIND,0,1407
2020,2020-01-04,16,SOLAR,0,15
2020,2020-01-04,16,BIOFUEL,0,0
2020,2020-01-04,17,NUCLEAR,0,11952
2020,2020-01-04,17,GAS,-1,428
2020,2020-01-04,17,HYDRO,0,4303
2020,2020-01-04,17,WIND,0,1843
2020,2020-01-04,17,SOLAR,0,1
2020,2020-01-04,17,BIOFUEL,0,0
2020,2020-01-04,18,NUCLEAR,0,11953
2020,2020-01-04,18,GAS,-1,431
2020,2020-01-04,18,HYDRO,0,4996
2020,2020-01-04,18,WIND,0,2038
2020,2020-01-04,18,SOLAR,0,0
2020,2020-01-04,18,BIOFUEL,0,0
2020,2020-01-04,19,NUCLEAR,0,11962
2020,2020-01-04,19,GAS,-1,431
2020,2020-01-04,19,HYDRO,0,4736
2020,2020-01-04,19,WIND,0,2375
2020,2020-01-04,19,SOLAR,0,0
2020,2020-01-04,19,BIOFUEL,0,0
2020,2020-01-04,20,NUCLEAR,0,11959
2020,2020-01-04,20,GAS,-1,433
2020,2020-01-04,20,HYDRO,0,4704
2020,2020-01-04,20,WIND,0,2286
2020,2020-01-04,20,SOLAR,0,0
2020,2020-01-04,20,BIOFUEL,0,0
2020,2020-01-04,21,NUCLEAR,0,11958
2020,2020-01-04,21,GAS,-1,304
2020,2020-01-04,21,HYDRO,0,4495
2020,2020-01-04,21,WIND,0,2186
2020,2020-01-04,21,SOLAR,0,0
2020,2020-01-04,21,BIOFUEL,0,0
2020,2020-01-04,22,NUCLEAR,0,11959
2020,2020-01-04,22,GAS,-1,306
2020,2020-01-04,22,HYDRO,0,3979
2020,2020-01-04,22,WIND,0,2415
2020,2020-01-04,22,SOLAR,0,0
2020,2020-01-04,22,BIOFUEL,0,0
2020,2020-01-04,23,NUCLEAR,0,11961
2020,2020-01-04,23,GAS,-1,237
2020,2020-01-04,23,HYDRO,0,3398
2020,2020-01-04,23,WIND,0,2229
2020,2020-01-04,23,SOLAR,0,0
2020,2020-01-04,23,BIOFUEL,0,0
2020,2020-01-04,24,NUCLEAR,0,11927
2020,2020-01-04,24,GAS,-1,237
2020,2020-01-04,24,HYDRO,0,3064
2020,2020-01-04,24,WIND,0,1822
2020,2020-01-04,24,SOLAR,0,0
2020,2020-01-04,24,BIOFUEL,0,0
2020,2020-01-05,1,NUCLEAR,0,11960
2020,2020-01-05,1,GAS,-1,235
2020,2020-01-05,1,HYDRO,0,3013
2020,2020-01-05,1,WIND,0,1753
2020,2020-01-05,1,SOLAR,0,0
2020,2020-01-05,1,BIOFUEL,0,0
2020,2020-01-05,2,NUCLEAR,0,11963
